"duration","age","town_size","gender","edu","attitude_government","ideology","interest","attention_check","ft_inparty_supporter","ft_outparty_supporter","ft_govern_sup","ft_govern_opp","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","ft_neonazi","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","pids_1","pids_2","pids_3","pids_4","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3R","trait_4R","trait_5R","trait_6","Happy","Angry","Anxious"
891,28,2,1,3,"supporter",10,3,2,65,73,48,77,70,58,50,47,57,62,57,55,4,4,4,2,4,2,3,"ControlW",5,3,5,5,5,4,4,7,4,4,4,3,5,7,4,6,7,0,0,0
547,37,4,2,2,"supporter",8,5,2,80,3,78,51,88,7,41,65,30,52,82,1,2,2,5,3,1,1,1,"ANXW",5,5,4,2,2,2,3,3,4,3,4,4,5,3,3,4,3,0,0,2
793,32,5,1,4,"supporter",7,5,2,98,0,93,60,98,2,26,75,98,4,62,0,5,5,4,1,3,4,1,"HappyW",5,5,6,4,5,4,4,4,7,7,7,6,6,4,1,2,4,1,0,0
303,46,1,1,3,"opponent",9,1,2,58,0,2,58,53,0,45,42,32,50,45,0,4,4,3,2,5,2,1,"ControlW",7,7,4,1,5,4,5,4,3,6,4,3,4,6,6,3,3,0,0,0
530,60,2,1,6,"supporter",6,3,2,64,59,33,27,58,60,52,58,33,58,46,31,4,4,3,4,3,3,2,"ANXW",4,4,5,4,5,5,4,4,5,4,4,3,4,3,6,5,5,0,0,0
408,29,1,2,2,"opponent",5,1,2,51,51,32,50,52,38,53,54,34,35,30,0,1,1,1,1,1,2,1,"HappyW",4,4,1,4,3,3,4,3,4,4,4,4,4,4,4,4,3,0,0,0
282,61,1,1,6,"opponent",2,4,2,79,48,46,49,76,10,62,46,62,84,3,5,3,1,1,1,2,1,3,"ControlW",7,7,3,4,3,4,4,5,7,7,7,4,3,3,4,4,4,0,0,0
666,36,3,1,3,"opponent",5,1,2,50,0,0,0,57,0,28,11,100,28,100,0,3,2,3,3,3,3,5,"ControlW",5,5,5,1,4,4,4,4,4,4,2,4,4,4,4,4,4,0,0,0
399,55,2,2,6,"supporter",0,7,2,83,1,99,0,94,1,1,99,1,1,77,1,1,5,5,5,5,1,2,"ANXW",7,7,7,7,1,1,1,1,1,1,1,1,1,7,7,7,1,0,1,0
349,38,5,2,3,"opponent",2,4,2,88,0,0,80,93,1,89,19,50,49,49,49,3,3,2,1,4,2,3,"ControlW",4,4,7,7,4,4,4,4,4,1,1,4,4,4,4,4,2,0,0,0
