"duration","age","gender","edu","pre_emotion_good","pre_emotion_happy","pre_emotion_tired","pre_emotion_tense","pids_1","pids_2","pids_3","pids_4","ideology","interest","attention_check","sam","ft_inparty_supporter","ft_outparty_supporter","ft_inparty","ft_outparty","ft_liberal","ft_conservative","ft_immigrant","ft_feminist","ft_nationalist","outgroup_trust_1","outgroup_trust_2","outgroup_trust_3","outgroup_trust_4","social_distance_1","social_distance_2","social_distance_3","trait_1","trait_2","trait_3","trait_4R","trait_5R","trait_6R","conspiracy_1","conspiracy_2","conspiracy_3","conspiracy_4","conspiracy_5","conspiracy_6","video","condition","ideology_cat"
607,69,0,3,4,4,4,4,6,6,6,4,1,6,2,5,100,25,100,0,92,18,50,80,51,2,2,4,4,5,6,6,6,1,2,6,2,4,5,3,4,1,5,3,2,"HappyQ","left"
503,54,0,4,6,5,6,7,5,5,5,4,6,2,2,7,60,0,70,0,50,60,50,50,50,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,2,1,1,"ControlP","right"
496,54,0,8,6,5,7,7,6,6,7,5,7,5,2,7,90,13,85,18,33,72,37,40,5,5,5,3,1,5,5,5,2,3,5,7,7,2,4,3,1,1,1,1,1,"ControlP","right"
514,54,0,8,7,7,7,7,7,6,7,2,9,4,2,9,96,0,93,0,0,99,29,0,99,1,1,1,1,4,4,4,1,3,2,1,3,3,4,5,4,3,4,2,1,"HappyQ","right"
611,63,0,5,4,3,4,4,4,4,4,4,4,3,2,5,67,9,72,8,60,20,65,65,51,2,2,3,4,4,4,4,4,4,3,5,5,4,4,2,3,1,4,2,1,"ControlQ","left"
482,28,1,5,5,5,4,2,5,4,4,2,2,5,2,9,71,0,79,0,71,43,51,71,51,4,4,4,4,6,6,6,4,3,4,4,3,4,4,3,3,2,3,2,1,"HappyP","left"
1020,62,0,8,6,6,6,6,5,2,3,1,2,3,2,4,70,60,65,35,65,10,25,51,25,5,3,4,3,3,4,3,3,2,3,6,5,5,3,1,1,3,2,1,1,"ControlW","left"
45519,36,0,9,3,4,3,4,5,6,3,4,6,4,6,6,54,38,52,51,44,62,45,61,0,2,3,2,3,1,1,1,5,4,3,5,4,3,4,4,1,2,1,3,1,"ControlP","right"
236,26,1,6,5,6,3,3,4,4,5,4,3,4,2,7,99,0,100,12,48,3,81,72,7,2,1,1,2,3,3,4,3,2,2,2,2,2,3,3,2,3,3,4,1,"ControlP","left"
455,21,0,7,3,5,5,4,6,5,5,6,8,5,2,5,82,19,81,9,41,85,44,0,64,5,5,4,4,6,6,6,5,3,5,3,1,1,2,2,1,1,2,1,1,"HappyW","right"
449,49,0,5,3,1,1,4,5,6,5,6,7,6,2,1,93,0,98,1,25,86,9,41,0,4,3,5,5,6,6,7,1,1,1,6,7,7,5,5,4,2,3,1,1,"ControlW","right"
206,52,0,5,4,4,4,2,4,4,4,4,7,5,2,5,60,43,61,40,45,56,61,65,57,5,3,5,5,4,4,4,3,3,3,5,3,4,3,3,3,3,3,2,2,"HappyQ","right"
425,35,0,8,5,5,5,5,4,3,3,3,7,4,2,9,72,39,86,32,87,62,96,34,35,6,6,6,6,6,6,6,6,6,6,3,3,4,3,1,4,4,4,2,1,"HappyP","right"
386,37,0,8,7,7,7,5,6,4,5,6,8,4,2,6,79,66,86,75,86,74,83,60,75,5,4,3,6,5,6,4,5,5,6,6,6,6,4,4,3,3,4,4,1,"ControlQ","right"
622,44,1,4,7,6,6,6,5,4,5,5,7,2,2,7,66,36,85,30,37,70,59,42,35,4,4,5,4,4,3,4,6,4,3,5,5,5,3,4,2,4,5,2,2,"HappyW","right"
296,35,1,9,6,6,4,6,6,5,5,6,8,6,2,7,82,1,82,0,6,75,33,29,59,2,2,2,4,4,5,4,3,1,4,6,5,4,4,1,1,1,1,1,1,"HappyP","right"
488,49,0,6,5,5,4,5,3,3,4,2,7,5,2,7,71,0,74,0,43,40,35,35,32,3,2,3,4,3,3,3,2,3,4,6,5,5,2,4,5,3,3,5,1,"ControlQ","right"
538,69,0,4,6,5,7,6,6,5,5,5,8,6,2,5,63,0,85,0,16,71,3,70,62,2,4,5,4,4,4,4,4,5,4,5,4,5,5,4,2,4,3,2,1,"ControlW","right"
702,59,1,6,7,6,2,6,3,4,4,4,3,4,2,9,92,8,91,19,78,29,70,86,51,4,5,5,4,7,7,7,6,5,6,4,3,4,4,3,3,2,5,2,2,"ControlP","left"
1772,53,1,7,2,3,1,3,4,2,4,2,7,4,2,2,51,50,51,41,50,50,50,50,42,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,2,2,4,2,1,"HappyQ","right"
718,30,1,5,5,4,3,4,4,4,5,4,7,2,2,6,75,41,83,30,43,56,54,51,58,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,1,"HappyP","right"
272,39,0,8,4,4,5,4,5,5,5,5,7,5,3,5,64,61,72,73,44,60,44,57,60,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,"HappyQ","right"
959,32,1,5,6,7,3,7,4,4,4,3,4,1,2,7,80,0,70,3,51,51,33,51,51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,1,1,1,"ControlQ","left"
858,64,0,5,5,6,4,5,5,4,5,4,4,5,2,8,70,40,69,28,69,41,51,70,51,2,3,5,4,4,4,4,4,4,4,5,5,4,4,3,1,3,2,1,1,"ControlP","left"
